post_id,title,description,filename,post_type,patreon_url,publication_date
11239694,Funeral for a Tablet,"Last goodbyes to the old 24HD, suggested by DarthKeidran!",tabletfuneral.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/11239694/d0960609de8b412890ab04a3b6783b9e/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=3NjmA9znJ-NlspooXv5Cx85V7B0-vqCtmAb5B-XOuhE%3D,2017-05-17T16:00:00.000+00:00
11225369,Dragon Quest x Twokinds,"Trace and Flora dressed as characters from Dragon Quest, facing off against some slimes and King Slime, suggested by Andrew NG!",slimequest.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/11225369/ad601524a79a4846b6db3b72b8085714/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=lDDyN52zX_PuiuKa0igIXNKF3xkbXNN8afCAxMbinto%3D,2017-05-16T16:06:14.000+00:00
11213753,♂ to ♀ Lineup B,"Surprise surprise! Lineup B, suggested by Ascdren and ChiefJumpingFox!<p><br></p><p><br></p>",lineup2_v2.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/11213753/4114d7ce0bb247ec9567b58455aaa5b2/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=_lF_Qll2SFLDvVwrBpZwtdsN7IsRuqgux1JkrEemuEI%3D,2017-05-15T19:45:19.000+00:00
11154038,Happy New Ears,"The historic moment when Trace ""cursed"" Karen, suggested by WereKeidran! Maren's not so jazzed about it.",newears.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/11154038/b2a1e08033874d18bdd2caaa9023a792/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=WoOck4GJzbb4iHPQPPL4Z8ODuU_f7t9y_O-lFeOprQA%3D,2017-05-13T01:06:49.000+00:00
11132530,Battle of Mages,"Raine and Natani face off against Clovis, suggested by Pretorian and ReeseWolf! Natani is skilled, Raine is naturally gifted, but Clovis has the greatest power of all: <strong>Money!</strong> With the right gold you can buy all the shield enchantments and magic amplifiers you need to even up a fight.",magebattlev2.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/11132530/3dcf99ee446748d9b691f6df74e07b01/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=liPQ-lxn6thtz0L0y9BbJWq-1nggp1xYfdAtUnN5Tls%3D,2017-05-11T18:29:54.000+00:00
11119300,♂ to ♀ Lineup A,"Some of the men-turned-ladies, suggested by ChiefJumpingFox! Couldn't draw them all, so I chose a random selection. perhaps a part B will happen if suggested again.",lineup.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/11119300/d0c8980f122b47cab256d21c0d4f5117/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=--xeM4ZhIckol89ML4gpBuqko0WETA2HGMDj60MLqwA%3D,2017-05-10T20:17:17.000+00:00
10903540,Not The Tail!,"Karen hugs Raine's tail-end, suggested by Arantukasko!",notthetail.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/10903540/de068873c9c140cea03dc7ed831aa73c/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=qipdm-jbdie2sDI8gmZ7uXmu032UirgplpQsopfrrF0%3D,2017-05-09T16:34:36.000+00:00
10699772,Older Maeve,Old habits die hard. Suggested by Aeoronwah!<p><br></p><p><br></p>,oldermaeve.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/10699772/46d881632f3240b894a4e63d9771ad06/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=1IlqGCZ1CH5fZK2ghGzoFJthamozFQpBv1jq_ZE1pkc%3D,2017-05-08T16:31:37.000+00:00
10671232,Big Brother,"Zen holds Natani for the first time, suggested by amenon!<p><br></p><p>♦ To make your own sketch suggestions and vote on color art, become a <a href=""https://www.patreon.com/bePatron?rid=983871&amp;u=544858"">patron</a>! More details can be found <a href=""https://www.patreon.com/posts/announcing-7121016"">here</a>!</p>",bigbrother_color_v2.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/10671232/b40973c4dc1f430eaac4cdaaca33d9d0/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=8DXluYN98FH41cDIavWyD_7EVt13IrlxDinuxfUJoLs%3D,2017-05-06T17:29:25.000+00:00
10570511,Breaking Decency Laws,"Alaric and Keith get up to some mischief, suggested by MoppyPuppy and UnsteddyPhoenix!<p><br></p><p>♦ To make your own sketch suggestions and vote on color art, become a <a href=""https://www.patreon.com/bePatron?rid=983871&amp;u=544858"">patron</a>! More details can be found <a href=""https://www.patreon.com/posts/announcing-7121016"">here</a>!</p>",breakingdecencylaws_color.png,image_file,https://c10.patreonusercontent.com/4/patreon-media/p/post/10570511/b585b89746a94563ad33a14cfef05d0d/eyJ3Ijo2MjB9/1.png?token-time=1691452800&token-hash=smWRNBUK66W5E2I8y_vGRhlgdb07wVyyfNVbQXTUrdc%3D,2017-05-05T16:09:08.000+00:00
